id,fullname,platform,fb_user_type,id_social,domain,created_date,createdBy
fb_100051181520132,Mẹ Và Bé BEE - Thị trấn Sông Vệ,1,255,100051181520132,facebook.com,2025-05-05T17:59:52.027Z,PageWebReplyCommentCrawlingLoader
fb_100027578753693,Nguyễn Huỳnh Như,1,255,100027578753693,facebook.com,2025-05-02T20:38:50.404Z,PageWebCommentCrawlingLoader
fb_100008339348044,Phương Mii,1,255,100008339348044,facebook.com,2025-05-01T00:31:44.834Z,PageWebCommentCrawlingLoader
tt_MS4wLjABAAAAMLP98atV9CVT1KzRUjWNJypW8IDCXFACL6KnkNl7ooRtSUrgV1f6w1XQYJzx7N9Y,Mắt Sài Gòn Ngô Gia Tự,9,,MS4wLjABAAAAMLP98atV9CVT1KzRUjWNJypW8IDCXFACL6KnkNl7ooRtSUrgV1f6w1XQYJzx7N9Y,tiktok.com,2025-04-29T09:14:43.157Z,
fb_100024818044592,Nhung Nth,1,255,100024818044592,facebook.com,2025-05-04T00:20:45.913Z,PageWebCommentCrawlingLoader
fb_100063832728764,Lothoa,1,255,100063832728764,facebook.com,2025-05-06T04:22:29.411Z,PageWebReplyCommentCrawlingLoader
fb_100067868055357,Vườn Của Bé - Hệ thống siêu thị mẹ và bé,1,255,100067868055357,facebook.com,2025-05-01T00:31:44.797Z,PageWebReplyCommentCrawlingLoader
tt_MS4wLjABAAAAP84-F5tOEvi840f0dKmjJtniq_QPNU41GKkV6OTq4V-GnHhHQEDGnaPYiUNvHOVP,Đinh Toàn Trung DVDL,9,,MS4wLjABAAAAP84-F5tOEvi840f0dKmjJtniq_QPNU41GKkV6OTq4V-GnHhHQEDGnaPYiUNvHOVP,tiktok.com,2025-04-29T09:14:43.157Z,
fb_100005371660459,Miu Miu,1,255,100005371660459,facebook.com,2025-05-01T00:31:48.640Z,PageWebCommentCrawlingLoader
fb_100067875617116,Cửa Hàng Sữa Nghĩa Thu,1,255,100067875617116,facebook.com,2025-05-03T20:04:55.542Z,PageWebReplyCommentCrawlingLoader
