id,reply_updated_at,last_status,platform,reply_last_date,reply_next_crawl_time,createdBy,post_updated_at,post_last_date,next_crawl_time
tr_11622752736,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213374,2024-06-22T17:18:48.000Z,2025-05-15T17:02:54.631Z
tr_1356967381,1747214270,0,10,2024-05-14T08:39:36.345Z,2025-05-15T17:17:50.112Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1291982591,1747213794,0,10,2025-01-17T04:30:58.000Z,2025-05-15T17:09:54.137Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1462619549,1747213491,0,10,2025-05-03T00:41:22.000Z,2025-05-14T13:04:51.583Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_13206126246,1747212853,0,10,2024-05-14T08:39:33.836Z,2025-05-15T16:54:13.656Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1355846694,1747213547,0,10,2025-01-20T03:32:35.000Z,2025-05-15T17:05:47.712Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1511673872,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213322,2025-03-25T13:23:05.000Z,2025-05-14T21:02:02.081Z
tr_11329138741,1747212959,0,10,2025-03-07T15:52:38.000Z,2025-05-15T02:55:59.316Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1500639054,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213077,2024-05-14T08:39:45.412Z,2025-05-15T16:57:57.985Z
tr_14735459289,1747213360,0,10,2025-05-10T15:59:33.000Z,2025-05-14T13:02:40.642Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1508681561,1747213828,0,10,2024-05-14T08:39:36.343Z,2025-05-15T17:10:28.590Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1477630160,1747213113,0,10,2025-04-06T04:42:52.000Z,2025-05-14T20:58:33.275Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1468631422,1747213889,0,10,2025-04-26T08:43:53.000Z,2025-05-14T13:11:29.886Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1467452486,1747213518,0,10,2025-04-03T16:47:40.000Z,2025-05-14T21:05:18.774Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1184170223,1747214252,0,10,2025-04-21T13:25:43.000Z,2025-05-14T13:17:32.032Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1334727213,1747213023,0,10,2025-02-14T06:04:01.000Z,2025-05-15T02:57:03.281Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
