id,mapping_id,fullname,platform,link,id_social,created_date,domain,createdBy
tr_65196017862,tr_65196017862,meo_meo.24,10,threads.net/@meo_meo.24,65196017862,2025-07-28T18:40:12.343Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_65922530230,tr_65922530230,ngdaokhaai,10,threads.net/@ngdaokhaai,65922530230,2025-07-28T18:40:12.343Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63430722850,tr_63430722850,ptmt_mt,10,threads.net/@ptmt_mt,63430722850,2025-07-28T18:40:12.343Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63243721917,tr_63243721917,meiiam_03,10,threads.net/@meiiam_03,63243721917,2025-07-28T18:40:12.343Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_67763328499,tr_67763328499,htuyn_256,10,threads.net/@htuyn_256,67763328499,2025-07-28T18:40:12.343Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63087776295,tr_63087776295,hthe_141,10,threads.net/@hthe_141,63087776295,2025-07-28T18:40:12.343Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_68085091187,tr_68085091187,letscodewithart,10,threads.net/@letscodewithart,68085091187,2025-07-28T18:40:13.802Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_68268961247,tr_68268961247,sbswtp_,10,threads.net/@sbswtp_,68268961247,2025-07-28T18:40:14.534Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_65180917390,tr_65180917390,weipmie_tb,10,threads.net/@weipmie_tb,65180917390,2025-07-28T18:40:14.838Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_64688576592,tr_64688576592,iamntt.04,10,threads.net/@iamntt.04,64688576592,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_66522922353,tr_66522922353,_hafne,10,threads.net/@_hafne,66522922353,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_66308764842,tr_66308764842,straw_lyn.10,10,threads.net/@straw_lyn.10,66308764842,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_63251927058,tr_63251927058,tr.thquynh,10,threads.net/@tr.thquynh,63251927058,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_67488259182,tr_67488259182,heirg_ngian,10,threads.net/@heirg_ngian,67488259182,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_75735355432,tr_75735355432,nnun29894,10,threads.net/@nnun29894,75735355432,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_65867768017,tr_65867768017,im_mmeii,10,threads.net/@im_mmeii,65867768017,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_63089567863,tr_63089567863,myenergylove,10,threads.net/@myenergylove,63089567863,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_75922501249,tr_75922501249,chubby_fish_grazing,10,threads.net/@chubby_fish_grazing,75922501249,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_67865522010,tr_67865522010,thao424vy,10,threads.net/@thao424vy,67865522010,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_65256503674,tr_65256503674,mindo.fil,10,threads.net/@mindo.fil,65256503674,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_64860024330,tr_64860024330,aine.wjh,10,threads.net/@aine.wjh,64860024330,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_69669137560,tr_69669137560,myaniee_q,10,threads.net/@myaniee_q,69669137560,2025-07-28T18:40:14.543Z,threads.net,ThreadsPostCommentCrawlingLoader
